page_url,canonical_url,canonical_final_url,canonical_status,redirect_count,needs_fix,suggestion
https://breastcalculator.com/about.html,https://breastcalculator.com/about.html,https://breastcalculator.com/about.html,200,0,OK,
https://breastcalculator.com/articles.html,https://breastcalculator.com/articles.html,https://breastcalculator.com/articles.html,200,0,OK,
https://breastcalculator.com/,https://breastcalculator.com/,https://breastcalculator.com/,200,0,OK,
https://breastcalculator.com/privacy.html,https://breastcalculator.com/privacy.html,https://breastcalculator.com/privacy.html,200,0,OK,
https://breastcalculator.com/specials.html,https://breastcalculator.com/specials.html,https://breastcalculator.com/specials.html,200,0,OK,
https://breastcalculator.com/terms.html,https://breastcalculator.com/terms.html,https://breastcalculator.com/terms.html,200,0,OK,
https://breastcalculator.com/wellness.html,https://breastcalculator.com/wellness.html,https://breastcalculator.com/wellness.html,200,0,OK,
https://breastcalculator.com/article/bra-sister-sizes-explained.html,https://breastcalculator.com/article/bra-sister-sizes-explained.html,https://breastcalculator.com/article/bra-sister-sizes-explained.html,200,0,OK,
https://breastcalculator.com/article/breast-ptosis-causes-and-solutions.html,https://breastcalculator.com/article/breast-ptosis-causes-and-solutions.html,https://breastcalculator.com/article/breast-ptosis-causes-and-solutions.html,200,0,OK,
https://breastcalculator.com/article/breast-volume-guide.html,https://breastcalculator.com/article/breast-volume-guide.html,https://breastcalculator.com/article/breast-volume-guide.html,200,0,OK,
https://breastcalculator.com/article/how-to-measure-bra-size-at-home.html,https://breastcalculator.com/article/how-to-measure-bra-size-at-home.html,https://breastcalculator.com/article/how-to-measure-bra-size-at-home.html,200,0,OK,
https://breastcalculator.com/article/how-to-tell-if-bra-fits.html,https://breastcalculator.com/article/how-to-tell-if-bra-fits.html,https://breastcalculator.com/article/how-to-tell-if-bra-fits.html,200,0,OK,
https://breastcalculator.com/article/post-mastectomy-breast-care.html,https://breastcalculator.com/article/post-mastectomy-breast-care.html,https://breastcalculator.com/article/post-mastectomy-breast-care.html,200,0,OK,
https://breastcalculator.com/article/prosthetic-bras-guide-after-mastectomy.html,https://breastcalculator.com/article/prosthetic-bras-guide-after-mastectomy.html,https://breastcalculator.com/article/prosthetic-bras-guide-after-mastectomy.html,200,0,OK,
https://breastcalculator.com/specials/accessory-breast-guide.html,https://breastcalculator.com/specials/accessory-breast-guide.html,https://breastcalculator.com/specials/accessory-breast-guide.html,200,0,OK,
https://breastcalculator.com/specials/buying-guide.html,https://breastcalculator.com/specials/buying-guide.html,https://breastcalculator.com/specials/buying-guide.html,200,0,OK,
https://breastcalculator.com/specials/expansion-evidence.html,https://breastcalculator.com/specials/expansion-evidence.html,https://breastcalculator.com/specials/expansion-evidence.html,200,0,OK,
https://breastcalculator.com/specials/ptosis-prevention-evidence.html,https://breastcalculator.com/specials/ptosis-prevention-evidence.html,https://breastcalculator.com/specials/ptosis-prevention-evidence.html,200,0,OK,
https://breastcalculator.com/specials/sports-bra-science.html,https://breastcalculator.com/specials/sports-bra-science.html,https://breastcalculator.com/specials/sports-bra-science.html,200,0,OK,
https://breastcalculator.com/specials/why-d-cup-support.html,https://breastcalculator.com/specials/why-d-cup-support.html,https://breastcalculator.com/specials/why-d-cup-support.html,200,0,OK,
https://breastcalculator.com/tools/breast-expansion-calculator-es.html,https://breastcalculator.com/tools/breast-expansion-calculator-es.html,https://breastcalculator.com/tools/breast-expansion-calculator-es.html,200,0,OK,
https://breastcalculator.com/tools/breast-expansion-calculator.html,https://breastcalculator.com/tools/breast-expansion-calculator.html,https://breastcalculator.com/tools/breast-expansion-calculator.html,200,0,OK,
https://breastcalculator.com/tools/breast-ptosis-calculator-es.html,https://breastcalculator.com/tools/breast-ptosis-calculator-es.html,https://breastcalculator.com/tools/breast-ptosis-calculator-es.html,200,0,OK,
https://breastcalculator.com/tools/breast-ptosis-calculator.html,https://breastcalculator.com/tools/breast-ptosis-calculator.html,https://breastcalculator.com/tools/breast-ptosis-calculator.html,200,0,OK,
https://breastcalculator.com/tools/breast-volume-calculator-es.html,https://breastcalculator.com/tools/breast-volume-calculator-es.html,https://breastcalculator.com/tools/breast-volume-calculator-es.html,200,0,OK,
https://breastcalculator.com/tools/breast-volume-calculator.html,https://breastcalculator.com/tools/breast-volume-calculator.html,https://breastcalculator.com/tools/breast-volume-calculator.html,200,0,OK,
https://breastcalculator.com/tools/length-converter-es.html,https://breastcalculator.com/tools/length-converter-es.html,https://breastcalculator.com/tools/length-converter-es.html,200,0,OK,
https://breastcalculator.com/tools/length-converter.html,https://breastcalculator.com/tools/length-converter.html,https://breastcalculator.com/tools/length-converter.html,200,0,OK,
https://breastcalculator.com/wellness/prosthetic-bras-guide.html,https://breastcalculator.com/wellness/prosthetic-bras-guide.html,https://breastcalculator.com/wellness/prosthetic-bras-guide.html,200,0,OK,
https://breastcalculator.com/wellness/sports-bras-after-surgery.html,https://breastcalculator.com/wellness/sports-bras-after-surgery.html,https://breastcalculator.com/wellness/sports-bras-after-surgery.html,200,0,OK,
